Michael Johnson,61,B
David Thompson,68,B
Andrew Miller,63,B
William Clark,67,B
David Harris,64,B
Victoria Young,62,B
Michael Adams,69,B
Daniel Carter,66,B
Andrew Johnson,60,B
Sophia Edwards,65,B
Michael Johnson,61,B
David Thompson,68,B
Andrew Miller,63,B
William Clark,67,B
David Harris,64,B
Victoria Young,62,B
Michael Adams,69,B
Daniel Carter,66,B
Andrew Johnson,60,B
Sophia Edwards,65,B
Michael Johnson,61,B
David Thompson,68,B
Andrew Miller,63,B
William Clark,67,B
David Harris,64,B
Victoria Young,62,B
Michael Adams,69,B
Daniel Carter,66,B
Andrew Johnson,60,B
Sophia Edwards,65,B
Michael Johnson,61,B
David Thompson,68,B
Andrew Miller,63,B
William Clark,67,B
David Harris,64,B
Victoria Young,62,B
Michael Adams,69,B
Daniel Carter,66,B
Andrew Johnson,60,B
Sophia Edwards,65,B
